,movieId,title,genres
0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
1,2,Jumanji (1995),Adventure|Children|Fantasy
2,3,Grumpier Old Men (1995),Comedy|Romance
3,4,Waiting to Exhale (1995),Comedy|Drama|Romance
4,5,Father of the Bride Part II (1995),Comedy
5,6,Heat (1995),Action|Crime|Thriller
6,7,Sabrina (1995),Comedy|Romance
7,8,Tom and Huck (1995),Adventure|Children
8,9,Sudden Death (1995),Action
9,10,GoldenEye (1995),Action|Adventure|Thriller
10,11,"American President, The (1995)",Comedy|Drama|Romance
11,12,Dracula: Dead and Loving It (1995),Comedy|Horror
12,13,Balto (1995),Adventure|Animation|Children
13,14,Nixon (1995),Drama
14,15,Cutthroat Island (1995),Action|Adventure|Romance
15,16,Casino (1995),Crime|Drama
16,17,Sense and Sensibility (1995),Drama|Romance
17,18,Four Rooms (1995),Comedy
18,19,Ace Ventura: When Nature Calls (1995),Comedy
19,21,Get Shorty (1995),Comedy|Crime|Thriller
20,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
21,23,Assassins (1995),Action|Crime|Thriller
22,24,Powder (1995),Drama|Sci-Fi
23,25,Leaving Las Vegas (1995),Drama|Romance
24,26,Othello (1995),Drama
25,27,Now and Then (1995),Children|Drama
26,28,Persuasion (1995),Drama|Romance
27,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
28,31,Dangerous Minds (1995),Drama
29,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
30,33,Wings of Courage (1995),Adventure|Romance|IMAX
31,34,Babe (1995),Children|Drama
32,36,Dead Man Walking (1995),Crime|Drama
33,38,It Takes Two (1995),Children|Comedy
34,39,Clueless (1995),Comedy|Romance
35,41,Richard III (1995),Drama|War
36,42,Dead Presidents (1995),Action|Crime|Drama
37,44,Mortal Kombat (1995),Action|Adventure|Fantasy
38,45,To Die For (1995),Comedy|Drama|Thriller
39,47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
40,48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
41,52,Mighty Aphrodite (1995),Comedy|Drama|Romance
42,54,"Big Green, The (1995)",Children|Comedy
43,55,Georgia (1995),Drama
44,58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
45,60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
46,61,Eye for an Eye (1996),Drama|Thriller
47,62,Mr. Holland's Opus (1995),Drama
48,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
49,65,Bio-Dome (1996),Comedy
50,66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
51,68,French Twist (Gazon maudit) (1995),Comedy|Romance
52,69,Friday (1995),Comedy
53,70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
54,72,Kicking and Screaming (1995),Comedy|Drama
55,73,"Misérables, Les (1995)",Drama|War
56,74,Bed of Roses (1996),Drama|Romance
57,76,Screamers (1995),Action|Sci-Fi|Thriller
58,79,"Juror, The (1996)",Drama|Thriller
59,82,Antonia's Line (Antonia) (1995),Comedy|Drama
60,85,Angels and Insects (1995),Drama|Romance
61,87,Dunston Checks In (1996),Children|Comedy
62,88,Black Sheep (1996),Comedy
63,89,Nick of Time (1995),Action|Thriller
64,92,Mary Reilly (1996),Drama|Horror|Thriller
65,94,Beautiful Girls (1996),Comedy|Drama|Romance
66,95,Broken Arrow (1996),Action|Adventure|Thriller
67,97,"Hate (Haine, La) (1995)",Crime|Drama
68,100,City Hall (1996),Drama|Thriller
69,101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
70,102,Mr. Wrong (1996),Comedy
71,104,Happy Gilmore (1996),Comedy
72,105,"Bridges of Madison County, The (1995)",Drama|Romance
